dataset,method,index,jo_b,jb_b,J_total_b,jo_a,jb_a,J_total_a,misfitb,misfita,Improvement,pct_drop_J,pct_drop_Jo,pct_drop_Jb,cg_iterations,converged,exit_code,runtime,log_runtime,jo_jb_ratio,log_jo_jb_ratio,pct_drop_J_100
baseline,NN-NPZ,0,477.34811690030415,1.381587244827788e-27,238.67405845015207,301.25430698701615,17.698290440627108,159.47629871382162,3.8209004705827105,3.061967733462153,19.862667006471796,0.33182391186795523,0.3689001876801492,-1.2810114241343597e+28,77,1,0,1.3989057540893555,0.14578845655210573,17.021661385750303,1.2310019467856026,33.18239118679552
baseline,NN-NPZ,1,1517.8273432393478,0.0,758.9136716196739,1037.1593340681902,38.61953967571745,537.8894368719539,4.915338686778074,3.9999195953779503,18.623723607541805,0.2912376506223824,0.3166816115891783,,55,1,0,1.0215444564819336,0.00925727139398615,26.855818137063867,1.4290383872831103,29.12376506223824
baseline,NN-NPZ,2,111.83094421881852,1.3695501826753677e-27,55.91547210940926,69.45863888834475,2.3737351281954586,35.91618700827011,1.2374623636813327,0.8699900078880464,29.695638960694616,0.3576699676613075,0.3788960705506008,-1.7332224537829283e+27,67,1,0,1.248091697692871,0.09624649427192414,29.261326616987812,1.4662940117885046,35.766996766130745
baseline,NN-NPZ,3,223.12864845897982,4.8148248609680896e-29,111.56432422948991,144.22418341590267,1.5937567242923183,72.9089700700975,1.6790768519164132,1.3363411071607205,20.412153521413355,0.3464849039006199,0.35362767438437215,-3.3101032131247047e+28,56,1,0,1.002845287322998,0.0012339379610680082,90.49322347483307,1.956616058567896,34.648490390061994
baseline,NN-NPZ,4,1027.8704495338761,0.0,513.9352247669381,693.8092961816634,50.989868526403924,372.39958235403367,4.8875126341007835,4.018806414268134,17.77399435802126,0.2753958779087164,0.3250031689340855,,55,1,0,0.9911959171295166,-0.003840495546211298,13.606806925230456,1.133756222378151,27.53958779087164
baseline,NN-NPZ,5,3705.2407118068677,0.0,1852.6203559034338,2148.603195597446,50.81038575167601,1099.706790674561,6.2879438277708575,4.8258161445638255,23.25287444123641,0.4064046704602428,0.4201177837782972,,56,1,0,1.0039408206939697,0.0017081132038783324,42.28669323823374,1.626203725238235,40.640467046024284
baseline,NN-NPZ,6,152.33547709627584,0.0,76.16773854813792,102.02772013200398,6.90694285839972,54.46733149520185,1.9797557044500453,1.5011205929270122,24.17647341271295,0.28490286657547853,0.33024321007297214,,64,1,0,1.1946840286254883,0.0772530577783392,14.771762590727866,1.1694323191275071,28.490286657547852
baseline,NN-NPZ,7,220.9659120361676,4.8148248609680896e-29,110.4829560180838,171.6684919446571,7.821210980072542,89.74485146236482,1.9393149324677792,1.63366187455691,15.76087786432529,0.18770410661645018,0.22309966110719162,-1.6244019680707505e+29,55,1,0,0.9915444850921631,-0.003687796641064126,21.949093609934156,1.3414165907133728,18.770410661645016
baseline,NN-NPZ,8,555.1919535881086,0.0,277.5959767940543,407.75487521468705,10.2551916413479,209.00503342801747,2.8689421071161685,2.4221808662297937,15.572333780393175,0.24708911187471488,0.2655605460788138,,59,1,0,1.0589919090270996,0.024892641997657568,39.760824514547394,1.5994553817213875,24.70891118747149
baseline,NN-NPZ,9,4287.284889201572,1.4176984312850486e-27,2143.642444600786,2322.68111777292,41.277639194530174,1181.9793784837252,7.285851693727312,5.254331298526634,27.883087394569078,0.44861169293377784,0.45823961369511956,-2.9115951801621704e+28,57,1,0,1.0638725757598877,0.026889613900445183,56.26971801431671,1.7502747387698967,44.861169293377785
baseline,NN-NPZ,10,2275.4591487116813,0.0,1137.7295743558407,1444.2870799133107,27.087877842258703,735.6874788777847,5.219484304962145,4.189112337880599,19.740876816163144,0.3533722815508985,0.3652766384617203,,52,1,0,0.9390485286712646,-0.027311963442565108,53.31857624003815,1.7268785439798087,35.33722815508985
