method,dataset,metric,value
NN-NPZ,baseline,Computational Time (s),1.3989057540893555
NN-NPZ,baseline,Computational Time (s),1.0215444564819336
NN-NPZ,baseline,Computational Time (s),1.248091697692871
NN-NPZ,baseline,Computational Time (s),1.002845287322998
NN-NPZ,baseline,Computational Time (s),0.9911959171295166
NN-NPZ,baseline,Computational Time (s),1.0039408206939697
NN-NPZ,baseline,Computational Time (s),1.1946840286254883
NN-NPZ,baseline,Computational Time (s),0.9915444850921631
NN-NPZ,baseline,Computational Time (s),1.0589919090270996
NN-NPZ,baseline,Computational Time (s),1.0638725757598877
NN-NPZ,baseline,Computational Time (s),0.9390485286712646
NN-NPZ,baseline,Computational Time (s),0.9325401782989502
NN-NPZ,baseline,Computational Time (s),1.0230684280395508
NN-NPZ,baseline,Computational Time (s),1.1034533977508545
NN-NPZ,baseline,Computational Time (s),0.8856372833251953
NN-NPZ,baseline,Computational Time (s),0.9308493137359619
NN-NPZ,baseline,Computational Time (s),1.1314077377319336
NN-NPZ,baseline,Computational Time (s),0.9891960620880127
NN-NPZ,baseline,Computational Time (s),1.1198608875274658
NN-NPZ,baseline,Computational Time (s),1.0408899784088135
NN-NPZ,baseline,Computational Time (s),0.9862198829650879
NN-NPZ,baseline,Computational Time (s),1.3937251567840576
NN-NPZ,baseline,Computational Time (s),0.9226453304290771
NN-NPZ,baseline,Computational Time (s),1.22296142578125
NN-NPZ,baseline,Computational Time (s),0.9695689678192139
NN-NPZ,baseline,Computational Time (s),1.1449339389801025
NN-NPZ,baseline,Computational Time (s),0.9427688121795654
NN-NPZ,baseline,Computational Time (s),1.1341702938079834
NN-NPZ,baseline,Computational Time (s),0.9886410236358643
NN-NPZ,baseline,Computational Time (s),0.999049186706543
NN-NPZ,baseline,Computational Time (s),0.968980073928833
NN-NPZ,baseline,Computational Time (s),0.9929966926574707
NN-NPZ,baseline,Computational Time (s),0.9538857936859131
NN-NPZ,baseline,Computational Time (s),0.9493374824523926
NN-NPZ,baseline,Computational Time (s),1.0930912494659424
NN-NPZ,baseline,Computational Time (s),1.1046960353851318
NN-NPZ,baseline,Computational Time (s),1.0091338157653809
NN-NPZ,baseline,Computational Time (s),0.9847400188446045
NN-NPZ,baseline,Computational Time (s),0.8782832622528076
NN-NPZ,baseline,Computational Time (s),1.1936419010162354
NN-NPZ,baseline,Computational Time (s),0.9958868026733398
NN-NPZ,baseline,Computational Time (s),0.954118013381958
NN-NPZ,baseline,Computational Time (s),1.1891062259674072
NN-NPZ,baseline,Computational Time (s),1.0063800811767578
NN-NPZ,baseline,Computational Time (s),1.3285727500915527
NN-NPZ,baseline,Computational Time (s),1.0455992221832275
NN-NPZ,baseline,Computational Time (s),1.0636250972747803
NN-NPZ,baseline,Computational Time (s),0.9968349933624268
NN-NPZ,baseline,Computational Time (s),1.0536985397338867
NN-NPZ,baseline,Computational Time (s),0.9545106887817383
