method,dataset,metric,value
PI-NPZ,baseline,Computational Time (s),1.8008084297180176
PI-NPZ,baseline,Computational Time (s),1.3039233684539795
PI-NPZ,baseline,Computational Time (s),1.4300155639648438
PI-NPZ,baseline,Computational Time (s),1.3206212520599365
PI-NPZ,baseline,Computational Time (s),1.2650916576385498
PI-NPZ,baseline,Computational Time (s),1.106696605682373
PI-NPZ,baseline,Computational Time (s),1.1753270626068115
PI-NPZ,baseline,Computational Time (s),1.0914857387542725
PI-NPZ,baseline,Computational Time (s),1.201340913772583
PI-NPZ,baseline,Computational Time (s),1.1711339950561523
PI-NPZ,baseline,Computational Time (s),1.0618813037872314
PI-NPZ,baseline,Computational Time (s),1.0431067943572998
PI-NPZ,baseline,Computational Time (s),1.031951904296875
PI-NPZ,baseline,Computational Time (s),1.1263041496276855
PI-NPZ,baseline,Computational Time (s),1.0996856689453125
PI-NPZ,baseline,Computational Time (s),1.070148229598999
PI-NPZ,baseline,Computational Time (s),1.2553412914276123
PI-NPZ,baseline,Computational Time (s),1.0239667892456055
PI-NPZ,baseline,Computational Time (s),1.0894501209259033
PI-NPZ,baseline,Computational Time (s),1.191190242767334
PI-NPZ,baseline,Computational Time (s),1.0877559185028076
PI-NPZ,baseline,Computational Time (s),1.5494937896728516
PI-NPZ,baseline,Computational Time (s),0.9671003818511963
PI-NPZ,baseline,Computational Time (s),1.4708507061004639
PI-NPZ,baseline,Computational Time (s),0.9699480533599854
PI-NPZ,baseline,Computational Time (s),1.3947727680206299
PI-NPZ,baseline,Computational Time (s),1.213935136795044
PI-NPZ,baseline,Computational Time (s),1.2399678230285645
PI-NPZ,baseline,Computational Time (s),1.0176527500152588
PI-NPZ,baseline,Computational Time (s),1.1287996768951416
PI-NPZ,baseline,Computational Time (s),1.0729780197143555
PI-NPZ,baseline,Computational Time (s),1.1332566738128662
PI-NPZ,baseline,Computational Time (s),1.0304598808288574
PI-NPZ,baseline,Computational Time (s),0.9625253677368164
PI-NPZ,baseline,Computational Time (s),1.200324296951294
PI-NPZ,baseline,Computational Time (s),1.2400777339935303
PI-NPZ,baseline,Computational Time (s),1.1275677680969238
