dataset,index,N_perturbed,P_perturbed,Z_perturbed,distance_N,distance_P,distance_Z,distance_total_L2,distance_total_L1,rk4_run_time,pinn_run_time
baseline,0,1.6686127930657582,0.3247818079051125,0.05603850071479862,0.06861279306575807,0.02478180790511253,0.043961499285201384,0.08517315771258689,0.13735610025607198,0.03525209426879883,1.6336817741394043
baseline,1,1.7522580799121814,0.25996416707067627,0.13475153541005255,0.15225807991218132,0.04003583292932372,0.03475153541005255,0.16122363359707859,0.2270454482515576,0.029735803604125977,1.4331490993499756
baseline,2,1.6173519636526552,0.2841186855667228,0.0959920567384612,0.017351963652655122,0.01588131443327717,0.004007943261538804,0.02386148360683796,0.0372412213474711,0.029838085174560547,1.6635172367095947
baseline,3,1.6282208210798061,0.31974691465168925,0.09805405490660175,0.028220821079806058,0.019746914651689262,0.001945945093398252,0.03449843594985208,0.04991368082489357,0.029745817184448242,1.4172680377960205
baseline,4,1.6719069382304,0.24582477071720413,0.1696758728094973,0.07190693823039984,0.05417522928279586,0.0696758728094973,0.11384327158545333,0.195758040322693,0.03889179229736328,1.4673182964324951
baseline,5,1.7354748313948878,0.3079674667584518,0.14813308312660112,0.1354748313948877,0.007967466758451835,0.04813308312660111,0.14399202811021372,0.19157538127994064,0.029469013214111328,1.2427890300750732
baseline,6,1.6590807376234997,0.2729774580511258,0.09539320514087729,0.059080737623499635,0.027022541948874212,0.004606794859122715,0.06513043751111695,0.09071007443149656,0.029784440994262695,1.457528829574585
baseline,7,1.5244628346130864,0.2988088763706515,0.1222075114639929,0.07553716538691368,0.0011911236293484784,0.0222075114639929,0.07874297235699018,0.09893580048025506,0.029713869094848633,1.2518525123596191
baseline,8,1.7126256859493063,0.28828083626762985,0.09857883002397601,0.11262568594930622,0.011719163732370141,0.0014211699760239976,0.11324267595848574,0.12576601965770035,0.029993295669555664,1.6905109882354736
baseline,9,1.488538333115591,0.23434129938429643,0.09138598950712697,0.11146166688440906,0.06565870061570356,0.00861401049287304,0.12964940928505955,0.18573437799298564,0.029896259307861328,1.4570717811584473
baseline,10,1.414327888350961,0.29963432494409353,0.10274681411697459,0.18567211164903918,0.0003656750559064559,0.002746814116974583,0.1856927886328734,0.18878460082192022,0.031633615493774414,1.643627643585205
baseline,11,1.5105484258048747,0.27625013251500025,0.18054264435361306,0.0894515741951254,0.023749867484999743,0.08054264435361305,0.12268968127358416,0.1937440860337382,0.0305635929107666,1.4323406219482422
baseline,12,1.7070483351342016,0.4231962936989062,0.09314112637636905,0.10704833513420153,0.12319629369890622,0.006858873623630954,0.16335151356365338,0.23710350245673872,0.02958536148071289,1.397411584854126
baseline,13,1.7985618355414514,0.28560995004931117,0.11571933568784859,0.19856183554145135,0.014390049950688821,0.015719335687848585,0.19970221227027246,0.22867122117998875,0.0295865535736084,1.3623771667480469
baseline,14,1.6671202170572492,0.3660490206934118,0.11634282208270515,0.06712021705724913,0.06604902069341179,0.01634282208270514,0.09557554345122987,0.14951205983336607,0.029552698135375977,1.413813829421997
baseline,15,1.595386200775712,0.3961085346773108,0.07515855579148273,0.004613799224288062,0.09610853467731079,0.024841444208517277,0.09937421663322316,0.12556377811011613,0.02962493896484375,1.4128410816192627
baseline,16,1.7036695786412956,0.2381705720516934,0.1122194201244194,0.10366957864129556,0.06182942794830659,0.0122194201244194,0.12132425117945572,0.17771842671402155,0.029521465301513672,1.4210357666015625
baseline,17,1.4365620153660525,0.3222071627422066,0.11125338215928399,0.16343798463394754,0.022207162742206632,0.011253382159283981,0.16532323341952943,0.19689852953543815,0.029689550399780273,1.4178800582885742
baseline,18,1.5242466309214737,0.3219453861804362,0.08541108381432663,0.07575336907852637,0.021945386180436233,0.014588916185673373,0.08020604326874951,0.11228767144463597,0.029599905014038086,1.4292194843292236
baseline,19,1.5506533013564174,0.2939177015108287,0.10682515674276483,0.049346698643582654,0.0060822984891713006,0.006825156742764821,0.0501863904509504,0.062254153875518775,0.029517173767089844,1.4245471954345703
baseline,20,1.5489253311161542,0.28508909781951225,0.17794861058961192,0.05107466888384593,0.01491090218048774,0.07794861058961192,0.09437660037467727,0.1439341816539456,0.02958536148071289,1.4300885200500488
baseline,21,1.7117103300182899,0.20023430684649168,0.07333647423073307,0.11171033001828978,0.0997656931535083,0.026663525769266935,0.1521293363215772,0.23813954894106504,0.02952885627746582,1.4383912086486816
baseline,22,1.6168610801021819,0.43398633931321684,0.13826742292006233,0.01686108010218179,0.13398633931321685,0.03826742292006233,0.14036036050720155,0.18911484233546097,0.031319379806518555,1.4208827018737793
baseline,23,1.5808638111056734,0.2949972239417424,0.06630386487671372,0.019136188894326667,0.0050027760582576075,0.033696135123286286,0.03907238175406248,0.05783510007587056,0.03144407272338867,1.4140100479125977
baseline,24,1.538885704985001,0.28835071353109665,0.1778113033559997,0.06111429501499899,0.011649286468903342,0.0778113033559997,0.09962560845673323,0.15057488483990203,0.031795501708984375,1.4190142154693604
baseline,25,1.6156842368190307,0.27244591875895835,0.10575154898683223,0.01568423681903064,0.02755408124104164,0.005751548986832222,0.03222270928058797,0.0489898670469045,0.03105306625366211,1.4213943481445312
baseline,26,1.5900837081869277,0.41886467044582143,0.08017842474598466,0.009916291813072409,0.11886467044582144,0.019821575254015344,0.12091334735696609,0.1486025375129092,0.030511140823364258,1.430342674255371
baseline,27,1.7170592257693307,0.253176037894433,0.09833603897868495,0.11705922576933059,0.046823962105566996,0.0016639610213150524,0.1260877255376555,0.16554714889621264,0.03062152862548828,1.4241118431091309
baseline,28,1.445563384163337,0.3733797015192958,0.10754631530118265,0.15443661583666302,0.07337970151929579,0.007546315301182646,0.17114962980026233,0.23536263265714147,0.030546903610229492,1.411485195159912
baseline,29,1.6456176953353019,0.2786162899955158,0.1557099836869696,0.0456176953353018,0.02138371000448419,0.05570998368696958,0.07511217919660373,0.12271138902675557,0.030257463455200195,1.4190337657928467
baseline,30,1.7542812821830107,0.3346042749094604,0.18271589388605602,0.15428128218301063,0.034604274909460386,0.08271589388605602,0.1784435176054668,0.27160145097852706,0.030179738998413086,1.4068422317504883
baseline,31,1.488718866284152,0.23695034055002062,0.08344096779793833,0.11128113371584814,0.06304965944997937,0.016559032202061674,0.12896880175186462,0.19088982536788918,0.03013896942138672,1.4210407733917236
baseline,32,1.5659967671814925,0.29093314082989896,0.16809770640393584,0.03400323281850759,0.009066859170101027,0.06809770640393584,0.07665328039162264,0.11116779839254445,0.029469966888427734,1.427809715270996
baseline,33,1.6634857307869413,0.34789233643522444,0.14139932775784264,0.0634857307869412,0.04789233643522445,0.041399327757842636,0.08965499563090715,0.15277739498000828,0.02953195571899414,1.4352502822875977
baseline,34,1.638927709711325,0.2655420188940826,0.11717318978310484,0.038927709711324976,0.03445798110591741,0.017173189783104836,0.05475068485956575,0.09055888060034722,0.02937626838684082,1.423602819442749
baseline,35,1.6928110510262946,0.3501555819072806,0.06559802533657755,0.0928110510262945,0.05015558190728059,0.03440197466342246,0.11096382045426398,0.17736860759699755,0.029498815536499023,1.4235572814941406
baseline,36,1.5571668190257077,0.25826529836683837,0.11603992398081182,0.04283318097429234,0.04173470163316162,0.016039923980811818,0.06191725021426359,0.10060780658826578,0.02937936782836914,1.4136509895324707
baseline,37,1.4690199628775658,0.24054849814388002,0.1436757265174344,0.13098003712243433,0.05945150185611997,0.0436757265174344,0.15032571398256597,0.2341072654959887,0.029557228088378906,1.4301331043243408
baseline,38,1.6627927987541693,0.392241068165165,0.12281324287559456,0.06279279875416921,0.09224106816516503,0.022813242875594553,0.11389378509002623,0.1778471097949288,0.029397964477539062,1.4381029605865479
baseline,39,1.6501194896290237,0.18954718041063828,0.10552713750774648,0.05011948962902357,0.1104528195893617,0.005527137507746471,0.12141802932408112,0.16609944672613175,0.029520273208618164,1.428903341293335
baseline,40,1.6103347376742858,0.2909149291615302,0.1488272347197136,0.010334737674285721,0.009085070838469766,0.04882723471971359,0.05072912541440389,0.06824704323246908,0.02941131591796875,1.4256041049957275
baseline,41,1.5516945220338103,0.47716694165283824,0.10408745498102197,0.04830547796618978,0.17716694165283825,0.004087454981021962,0.18367975311499118,0.22955987460005,0.029482126235961914,1.4308130741119385
baseline,42,1.62471960783332,0.20098499715685886,0.0929638493802084,0.024719607833319834,0.09901500284314113,0.007036150619791612,0.10229632063278116,0.1307707612962526,0.03001236915588379,1.436863899230957
baseline,43,1.6959530012524746,0.32827451136114033,0.13944033099710432,0.09595300125247452,0.028274511361140342,0.03944033099710431,0.10752658346301987,0.16366784361071918,0.029676437377929688,1.4286556243896484
baseline,44,1.6302698909064934,0.17739911610639342,0.16428084056249784,0.030269890906493346,0.12260088389360657,0.06428084056249783,0.14170133905650248,0.21715161536259775,0.02965998649597168,1.4193849563598633
baseline,45,1.5828327693688258,0.3219195987844378,0.11262409191133294,0.017167230631174313,0.021919598784437833,0.01262409191133293,0.03057041568249342,0.051710921326945075,0.029665708541870117,1.4419500827789307
baseline,46,1.592768793436253,0.35273640031971887,0.09501379658655097,0.0072312065637469836,0.05273640031971888,0.0049862034134490335,0.053462888918665005,0.0649538102969149,0.029649019241333008,1.4116313457489014
baseline,47,1.5951652890297485,0.3516135511699195,0.07055572689149064,0.004834710970251566,0.0516135511699195,0.02944427310850936,0.05961793617213076,0.08589253524868043,0.029665470123291016,1.403989315032959
baseline,48,1.5754385766820234,0.25920349540291177,0.14070569814878547,0.024561423317976727,0.04079650459708822,0.04070569814878547,0.06264640583884384,0.10606362606385042,0.029632568359375,1.4357173442840576
baseline,49,1.593016020268048,0.3386904906193389,0.12361403681657789,0.006983979731952195,0.038690490619338935,0.02361403681657788,0.04586232410199213,0.06928850716786901,0.029605627059936523,1.4299299716949463
baseline,50,1.6863395319867247,0.35958125855527134,0.16714348435834397,0.08633953198672462,0.059581258555271355,0.06714348435834397,0.12454994438576004,0.21306427490033994,0.02967667579650879,1.4076638221740723
